PERMIT_NO,LEASE_NAME,OPERATOR_NAME,lat,lon,SPUD_DATE,ndvi_change_mean,ndvi_change_min,brightness_change_mean,brightness_change_max,combined_score_mean,combined_score_max,disturbed_pixel_count,bright_pixel_count,activity_class,confidence
900001,GUADALUPE PASS 16-15,DIAMONDBACK ENERGY,31.402308,-103.675998,20251203,-0.07566767930984497,-0.6485546827316284,0.05057086423039436,0.24983511865139008,0.06562896072864532,0.442284494638443,524,597,COMPLETION_RIG,HIGH
900002,BELL CANYON 02-36,DIAMONDBACK ENERGY,31.314991,-103.642774,20260209,-0.101339191198349,-0.49634259939193726,0.07189348340034485,0.24379269778728485,0.08956091105937958,0.36011040210723877,661,853,DRILLING_RIG,HIGH
900003,DELAWARE MOUNTAIN 45-28,DIAMONDBACK ENERGY,31.439088,-103.558591,20251231,-0.003153209574520588,-0.3974960446357727,0.00028720099362544715,0.054496437311172485,0.0020068062003701925,0.24822118878364563,182,0,COMPLETION_RIG,HIGH
900004,FIRST BONE 23-39,DIAMONDBACK ENERGY,31.314839,-103.664525,20260213,-0.10754571855068207,-0.5680735111236572,0.07183901965618134,0.2482345849275589,0.09326303750276566,0.4039944112300873,695,844,DRILLING_RIG,HIGH
900005,BELL CANYON 24-37,DIAMONDBACK ENERGY,31.388327,-103.547295,,-0.001086660660803318,-0.5467545986175537,-0.0006412164657376707,0.05168857425451279,0.000395509967347607,0.34782034158706665,191,0,PAD_CONSTRUCTION,LOW
900006,BONE SPRING 07-25,DIAMONDBACK ENERGY,31.346302,-103.667233,,0.001553705194965005,-0.4201206564903259,0.00021472420485224575,0.048161908984184265,-0.0008463333360850811,0.2649681866168976,184,0,PAD_CONSTRUCTION,LOW
900007,GUADALUPE PASS 45-60,DIAMONDBACK ENERGY,31.359229,-103.646479,,-0.008582156151533127,-0.5374244451522827,0.0007550101145170629,0.058712437748909,0.005451297853142023,0.33652469515800476,196,0,PAD_CONSTRUCTION,LOW
900008,CHERRY CANYON 45-36,DIAMONDBACK ENERGY,31.373962,-103.636808,20260123,-0.14823633432388306,-0.47713249921798706,0.09995909035205841,0.25208956003189087,0.12892544269561768,0.3402049243450165,863,1196,COMPLETION_RIG,HIGH
900009,MENTONE 46-21,DIAMONDBACK ENERGY,31.342839,-103.646243,,-0.004153081681579351,-0.42864036560058594,2.4811699404381216e-05,0.04884639382362366,0.002501774113625288,0.26354244351387024,200,0,PAD_CONSTRUCTION,LOW
900010,BONE SPRING 48-36,DIAMONDBACK ENERGY,31.373416,-103.637619,20260113,-0.1297580450773239,-0.46018099784851074,0.08890704810619354,0.25208956003189087,0.11341764777898788,0.3360074460506439,776,1057,COMPLETION_RIG,HIGH
900011,STATE 08-10,DIAMONDBACK ENERGY,31.381524,-103.665454,20251206,0.001177151338197291,-0.364294171333313,0.00028983154334127903,0.050579264760017395,-0.0005903579294681549,0.23154078423976898,177,0,COMPLETION_RIG,HIGH
900012,UNIVERSITY LANDS 44-47,DIAMONDBACK ENERGY,31.340226,-103.591484,20260115,-0.10707198828458786,-0.5292171239852905,0.07234272360801697,0.24458761513233185,0.09318028390407562,0.3769203722476959,673,847,COMPLETION_RIG,HIGH
900013,THIRD BONE 47-17,DIAMONDBACK ENERGY,31.325305,-103.679481,20260126,-0.10839681327342987,-0.48342078924179077,0.07178564369678497,0.2453605979681015,0.09375234693288803,0.3589119613170624,670,846,DRILLING_RIG,HIGH
900014,UPPER WOLFCAMP 11-35,DIAMONDBACK ENERGY,31.397435,-103.655546,20251101,0.0026040179654955864,-0.4062119424343109,0.0002601360611151904,0.05592194199562073,-0.0014583560405299067,0.26080483198165894,166,0,COMPLETION_RIG,HIGH
900015,BONE SPRING 37-06,DIAMONDBACK ENERGY,31.429084,-103.641688,,0.00045150742516852915,-0.36618149280548096,-0.0001657855900702998,0.045045092701911926,-0.0003372187784407288,0.22741158306598663,180,0,PAD_CONSTRUCTION,LOW
900016,APACHE DRAW 36-11,DIAMONDBACK ENERGY,31.422534,-103.659457,,-0.0023245736956596375,-0.5683192610740662,-0.0006559970788657665,0.052810586988925934,0.0011323452927172184,0.349255234003067,182,0,PAD_CONSTRUCTION,LOW
900017,RATTLESNAKE 26-43,DIAMONDBACK ENERGY,31.416789,-103.647816,20260208,-0.10782727599143982,-0.4890979528427124,0.07210098952054977,0.24687936902046204,0.09353675693273544,0.3536122441291809,674,860,DRILLING_RIG,HIGH
900018,CEDAR LAKE 15-38,DIAMONDBACK ENERGY,31.310244,-103.676635,,-0.005918553099036217,-0.41427794098854065,2.2497353711514734e-05,0.04960507154464722,0.0035601304844021797,0.25294777750968933,186,0,PAD_CONSTRUCTION,LOW
900019,FIRST BONE 22-05,APACHE CORP,31.376631,-103.555133,20260120,-0.0011093700304627419,-0.46783602237701416,-1.882177275547292e-05,0.05058755725622177,0.0006580926710739732,0.2838509976863861,181,0,COMPLETION_RIG,HIGH
900020,LOWER WOLFCAMP 27-13,APACHE CORP,31.415627,-103.574461,20260214,-0.10260496288537979,-0.519797682762146,0.07156440615653992,0.2539973556995392,0.09018873423337936,0.3702316880226135,643,853,DRILLING_RIG,HIGH
900021,BRUSHY CANYON 42-42,APACHE CORP,31.414724,-103.583348,,-0.0011923472629860044,-0.4772208034992218,0.0008069385075941682,0.052690520882606506,0.001038183574564755,0.29850855469703674,201,0,PAD_CONSTRUCTION,LOW
900022,WOLFCAMP 35-29,APACHE CORP,31.477868,-103.660215,20260113,-0.10829935222864151,-0.5197347402572632,0.07227972894906998,0.24356257915496826,0.09389150887727737,0.36558017134666443,684,860,COMPLETION_RIG,HIGH
900023,FIRST BONE 36-07,APACHE CORP,31.487722,-103.629099,,0.00484169228002429,-0.3816325068473816,-0.00013852283882442862,0.06587482988834381,-0.002960424404591322,0.24140465259552002,171,0,PAD_CONSTRUCTION,LOW
900024,APACHE DRAW 14-56,APACHE CORP,31.377821,-103.634974,20260118,-0.13254770636558533,-0.4831357002258301,0.08858820050954819,0.25208956003189087,0.11496391147375107,0.3402049243450165,789,1058,COMPLETION_RIG,HIGH
900025,RATTLESNAKE 28-45,APACHE CORP,31.488243,-103.574379,20260107,-0.106269970536232,-0.5307902097702026,0.07226547598838806,0.24140988290309906,0.09266816824674606,0.3879411816596985,676,853,COMPLETION_RIG,HIGH
900026,TOYAH CREEK 04-04,APACHE CORP,31.457718,-103.690247,,0.003429056378081441,-0.37827619910240173,0.000240935361944139,0.05016094446182251,-0.0019610596355050802,0.23783959448337555,176,0,PAD_CONSTRUCTION,LOW
900027,PECOS VALLEY 44-56,APACHE CORP,31.476215,-103.689037,,-0.00024226546520367265,-0.38623324036598206,-0.000826037663500756,0.05379294604063034,-0.00018505573098082095,0.237360417842865,183,0,PAD_CONSTRUCTION,LOW
900028,BELL CANYON 06-27,APACHE CORP,31.379394,-103.604877,,-0.001002879929728806,-0.41932493448257446,0.0003370785852894187,0.05023890733718872,0.0007365596247836947,0.25544849038124084,198,0,PAD_CONSTRUCTION,LOW
900029,BRUSHY CANYON 42-20,APACHE CORP,31.37819,-103.636674,20251121,-0.13818256556987762,-0.4831357002258301,0.09172599762678146,0.25208956003189087,0.11959995329380035,0.3402049243450165,807,1099,COMPLETION_RIG,HIGH
900030,MUSTANG SPRINGS 23-57,APACHE CORP,31.426022,-103.619058,20260120,-0.10767664015293121,-0.4909090995788574,0.072452612221241,0.2567780911922455,0.09358703345060349,0.3435623049736023,672,858,COMPLETION_RIG,HIGH
900031,LOWER WOLFCAMP 42-34,CONOCOPHILLIPS,31.306915,-103.581597,20251104,-0.002655777847394347,-0.4421943426132202,0.00011498169624246657,0.05862928926944733,0.0016394593985751271,0.27131757140159607,197,0,COMPLETION_RIG,HIGH
900032,CEDAR LAKE 10-18,CONOCOPHILLIPS,31.238469,-103.612874,20260104,0.0029049080330878496,-0.4391895830631256,2.9426841138047166e-05,0.05226120352745056,-0.0017311745323240757,0.26979348063468933,180,0,COMPLETION_RIG,HIGH
900033,FIRST BONE 04-06,CONOCOPHILLIPS,31.298165,-103.485146,20251111,0.0027940243016928434,-0.4020173251628876,-0.0007946802652440965,0.059574194252491,-0.0019942864309996367,0.242937371134758,177,0,COMPLETION_RIG,HIGH
900034,SIDEWINDER 36-46,CONOCOPHILLIPS,31.376768,-103.604147,20251104,-4.575885759550147e-05,-0.41932493448257446,0.00016851209511514753,0.04685233533382416,9.4860493845772e-05,0.25544849038124084,192,0,COMPLETION_RIG,HIGH
900035,CEDAR LAKE 10-28,CONOCOPHILLIPS,31.225765,-103.570925,20260107,-0.10241159796714783,-0.5211285352706909,0.07169181853532791,0.2326379120349884,0.09012368321418762,0.37269729375839233,653,854,COMPLETION_RIG,HIGH
900036,RED HILLS 23-50,CONOCOPHILLIPS,31.253612,-103.590075,,-0.0020262449979782104,-0.4557713568210602,-0.00010084204404847696,0.05222112685441971,0.0011754099978134036,0.27957120537757874,185,0,PAD_CONSTRUCTION,LOW
900037,UNIVERSITY LANDS 12-48,CONOCOPHILLIPS,31.349723,-103.488973,20260128,-0.10456527769565582,-0.5010488033294678,0.07175381481647491,0.24611321091651917,0.09144069999456406,0.3594014048576355,667,845,DRILLING_RIG,HIGH
900038,APACHE DRAW 15-13,CONOCOPHILLIPS,31.281207,-103.623804,,0.000531488680280745,-0.39892467856407166,-0.00016059660993050784,0.05106598138809204,-0.0003831318754237145,0.2564084529876709,185,0,PAD_CONSTRUCTION,LOW
900039,WOLFCAMP 26-22,CONOCOPHILLIPS,31.256415,-103.626214,20260122,-0.10339994728565216,-0.5166569352149963,0.07233448326587677,0.24354863166809082,0.09097375720739365,0.35965457558631897,656,863,COMPLETION_RIG,HIGH
900040,TOYAH CREEK 02-08,CONOCOPHILLIPS,31.328723,-103.495014,,0.0019863247871398926,-0.4312058091163635,-0.00042003209819085896,0.06348113715648651,-0.0013598077930510044,0.27387163043022156,176,0,PAD_CONSTRUCTION,LOW
900041,PHANTOM RANCH 47-51,OXY USA,31.126121,-103.484549,,-0.06303650885820389,-0.4590491056442261,0.0394170805811882,0.2447858452796936,0.053588736802339554,0.32695096731185913,467,469,PAD_CONSTRUCTION,LOW
900042,GUADALUPE PASS 03-46,OXY USA,31.181631,-103.487746,,-0.004662783816456795,-0.45076048374176025,7.504198583774269e-05,0.05250842869281769,0.0028276871889829636,0.27805382013320923,205,0,PAD_CONSTRUCTION,LOW
900043,THIRD BONE 43-13,OXY USA,31.229897,-103.429558,,4.228137549944222e-05,-0.4148620367050171,-0.0005089956684969366,0.056659162044525146,-0.0002289672556798905,0.2682536244392395,162,0,PAD_CONSTRUCTION,LOW
900044,RED HILLS 47-58,OXY USA,31.219705,-103.473858,20260213,-0.1211550161242485,-0.603958010673523,0.08066494017839432,0.24724827706813812,0.10495898872613907,0.4280911087989807,754,965,DRILLING_RIG,HIGH
900045,SOUTH PECOS 43-25,OXY USA,31.167305,-103.559634,20260201,-0.10428931564092636,-0.5007445812225342,0.07222390919923782,0.2488289177417755,0.09146315604448318,0.35716432332992554,663,847,DRILLING_RIG,HIGH
900046,MENTONE 39-42,OXY USA,31.165906,-103.511218,20260207,-0.11000139266252518,-0.5368092656135559,0.07272102683782578,0.24392962455749512,0.09508924186229706,0.38850557804107666,670,853,DRILLING_RIG,HIGH
900047,LOWER WOLFCAMP 48-11,OXY USA,31.19571,-103.435811,,-0.0033762759994715452,-0.47340789437294006,0.0003773039497900754,0.05451846122741699,0.0021766871213912964,0.301286518573761,184,0,PAD_CONSTRUCTION,LOW
900048,UPPER WOLFCAMP 16-44,OXY USA,31.17363,-103.449052,20260123,-0.0033393632620573044,-0.4977026879787445,9.8435215477366e-05,0.057380981743335724,0.002042992040514946,0.31116431951522827,184,0,COMPLETION_RIG,HIGH
900049,SIDEWINDER 27-57,OXY USA,31.217804,-103.457042,20260110,-0.10586324334144592,-0.4618530869483948,0.07218940556049347,0.24299730360507965,0.09239370375871658,0.35909220576286316,685,856,COMPLETION_RIG,HIGH
900050,FIRST BONE 07-50,OXY USA,31.23002,-103.437174,,0.008738631382584572,-0.41982126235961914,-0.00037947099190205336,0.05060489475727081,-0.005394966807216406,0.25790154933929443,145,0,PAD_CONSTRUCTION,LOW
900051,BONE SPRING 08-30,EOG RESOURCES,31.102873,-103.751965,20260218,-0.11079361289739609,-0.5241522789001465,0.07246816903352737,0.24418599903583527,0.09546342492103577,0.33203721046447754,680,854,DRILLING_RIG,HIGH
900052,SIDEWINDER 40-53,EOG RESOURCES,31.070768,-103.63916,,-0.000910935748834163,-0.3669450879096985,0.0007623747223988175,0.05199991166591644,0.0008515111985616386,0.2281997799873352,172,0,PAD_CONSTRUCTION,LOW
900053,SECOND BONE 41-18,EOG RESOURCES,31.092011,-103.639716,20260223,-0.10620812326669693,-0.5253943800926208,0.07112047076225281,0.2389887571334839,0.09217306226491928,0.38431501388549805,679,843,DRILLING_RIG,HIGH
900054,CEDAR LAKE 06-09,EOG RESOURCES,31.057519,-103.706264,,-6.308741831162479e-06,-0.39700210094451904,5.903810233576223e-05,0.05480899661779404,2.7400590624893084e-05,0.24353505671024323,176,0,PAD_CONSTRUCTION,LOW
900055,TOYAH CREEK 35-30,EOG RESOURCES,31.054232,-103.693621,,-0.0005895960493944585,-0.4076383709907532,-0.0003342036798130721,0.05059592425823212,0.00022007622465025634,0.259125679731369,170,0,PAD_CONSTRUCTION,LOW
900056,AVALON SHALE 02-55,EOG RESOURCES,31.164774,-103.666547,,0.000515857944265008,-0.4309224486351013,-0.00039642571937292814,0.057095885276794434,-0.0004680854035541415,0.25918614864349365,179,0,PAD_CONSTRUCTION,LOW
900057,SECOND BONE 27-35,EOG RESOURCES,31.140556,-103.623448,20260121,-0.1148596704006195,-0.4890905022621155,0.07247216999530792,0.24205394089221954,0.09790467470884323,0.3589372932910919,721,845,COMPLETION_RIG,HIGH
900058,LOWER WOLFCAMP 26-47,EOG RESOURCES,31.082217,-103.65298,,-0.0013843843480572104,-0.4962529242038727,-0.00024034158559516072,0.056709595024585724,0.0007344938931055367,0.3103422522544861,192,0,PAD_CONSTRUCTION,LOW
