month,threshold,tp,fp,fn,precision,recall,f1
2025-07,2,11,20,6,0.355,0.647,0.458
2025-07,3,8,13,9,0.381,0.471,0.421
2025-07,4,7,12,10,0.368,0.412,0.389
2025-07,5,7,11,10,0.389,0.412,0.4
2025-07,6,7,9,10,0.438,0.412,0.424
2025-07,7,4,7,13,0.364,0.235,0.286
2025-07,8,4,6,13,0.4,0.235,0.296
2025-07,10,4,4,13,0.5,0.235,0.32
2025-07,12,2,3,15,0.4,0.118,0.182
2025-07,15,2,1,15,0.667,0.118,0.2
2025-07,20,0,0,17,0.0,0.0,0.0
2025-08,2,11,18,7,0.379,0.611,0.468
2025-08,3,11,12,7,0.478,0.611,0.537
2025-08,4,11,12,7,0.478,0.611,0.537
2025-08,5,11,11,7,0.5,0.611,0.55
2025-08,6,11,10,7,0.524,0.611,0.564
2025-08,7,11,8,7,0.579,0.611,0.595
2025-08,8,11,4,7,0.733,0.611,0.667
2025-08,10,11,3,7,0.786,0.611,0.688
2025-08,12,8,2,10,0.8,0.444,0.571
2025-08,15,5,1,13,0.833,0.278,0.417
2025-08,20,0,0,18,0.0,0.0,0.0
2025-09,2,15,28,0,0.349,1.0,0.517
2025-09,3,14,19,1,0.424,0.933,0.583
2025-09,4,13,18,2,0.419,0.867,0.565
2025-09,5,12,17,3,0.414,0.8,0.545
2025-09,6,11,16,4,0.407,0.733,0.524
2025-09,7,10,16,5,0.385,0.667,0.488
2025-09,8,9,15,6,0.375,0.6,0.462
2025-09,10,8,11,7,0.421,0.533,0.471
2025-09,12,7,7,8,0.5,0.467,0.483
2025-09,15,4,1,11,0.8,0.267,0.4
2025-09,20,1,0,14,1.0,0.067,0.125
2025-10,2,8,24,5,0.25,0.615,0.356
2025-10,3,8,20,5,0.286,0.615,0.39
2025-10,4,8,13,5,0.381,0.615,0.471
2025-10,5,8,11,5,0.421,0.615,0.5
2025-10,6,6,8,7,0.429,0.462,0.444
2025-10,7,6,7,7,0.462,0.462,0.462
2025-10,8,6,5,7,0.545,0.462,0.5
2025-10,10,6,3,7,0.667,0.462,0.545
2025-10,12,5,1,8,0.833,0.385,0.526
2025-10,15,2,0,11,1.0,0.154,0.267
2025-10,20,0,0,13,0.0,0.0,0.0
2025-11,2,14,21,3,0.4,0.824,0.538
2025-11,3,14,18,3,0.438,0.824,0.571
2025-11,4,14,14,3,0.5,0.824,0.622
2025-11,5,14,12,3,0.538,0.824,0.651
2025-11,6,14,11,3,0.56,0.824,0.667
2025-11,7,14,10,3,0.583,0.824,0.683
2025-11,8,13,10,4,0.565,0.765,0.65
2025-11,10,11,10,6,0.524,0.647,0.579
2025-11,12,10,4,7,0.714,0.588,0.645
2025-11,15,9,1,8,0.9,0.529,0.667
2025-11,20,2,0,15,1.0,0.118,0.211
2025-12,2,12,22,3,0.353,0.8,0.49
2025-12,3,11,17,4,0.393,0.733,0.512
2025-12,4,11,13,4,0.458,0.733,0.564
2025-12,5,11,12,4,0.478,0.733,0.579
2025-12,6,11,8,4,0.579,0.733,0.647
2025-12,7,11,7,4,0.611,0.733,0.667
2025-12,8,11,7,4,0.611,0.733,0.667
2025-12,10,10,6,5,0.625,0.667,0.645
2025-12,12,9,5,6,0.643,0.6,0.621
2025-12,15,9,0,6,1.0,0.6,0.75
2025-12,20,2,0,13,1.0,0.133,0.235
